En,Nk
Connecticut,미국 주의 속칭
constrain obedience,복종을 강요하다
constraining force,속박력
feel constrained,하는수 없다고 여기다 거북하게 느끼다
a constrained manner,어색한 태도
constrained motion,속박운동
construct oil rigs,유정착정설비들을 세우다
knstrkt kn,구성개념
a skyscraper under construction,건설중에 있는 초고층건물
put an honest construction upon,을 솔직하게 해석하다
constructive advice,건설적인 의견
constructive theft,추정절도
constructive loss,추정손해
His words could hardly be construed as an apology,그의 말은 사과의 뜻으로 리해될수 없었다
consuetudinary law,관습법
an acting consul,대리령사
an honorary consul,명예령사
a consular assistant,부령사
a consultative body,자문기관
a consultative committee,자문위원회
a consulting engineer,고문기사
consulting hours,진찰시간
be consumed with guilt,죄의식에 사로잡히다
an association of consumers,소비자조합
the consuming public,일반소비자
consumer credit,경제
consumer goods,경제
a point of contact,접촉점
a point of contact,접점
be brought into contact with,와 접촉하게 되다
The bomb exploded on contact,폭탄은 닿자마자 폭발하였다
Please do not hesitate to contact me if you have any queries,물어볼것이 있으면 서슴치 말고 저에게 련락하십시오
Her enthusiasm is contagious,그의 열정은 옮기 쉽다
documents containing both text and simple graphics,본문과 간단한 그림이 들어있는 문서들
a policy to contain the conflict,분쟁을 견제하기 위한 조치
contaminate the mind of the public,대중의 마음을 타락시키다
contemplate doing,하려고 하다
contemplate doing,할 예정이다
He contemplated marrying her in the future,그는 앞으로 그 녀성과 결혼하겠다고 작정하였다
be lost in contemplation,묵상에 잠기다
This series of paintings is contemporary with other works in an early style,이 그림들은 초기형식에서 다른 작품들과 년대가 같다
our contemporaries,우리 시대 사람들
in contempt of,을 멸시하여
fall into contempt,창피를 당하다
beneath contempt,경멸할 가치조차 없는
contempt of Congress,의회모욕죄
contempt of court,법정모욕죄
have much to contend with,많은 난관을 극복하지 않으면 안된다
I contend that he is innocent,나는 그에게는 죄가 없다고 주장한다
He is content to live here,이곳에서 살고있는데 대하여 만족하고있다
be content with,에 만족하다
not content with,에 만족하지 않고
"Not content with her new dictionary, she now wants a complete collection of linguistic essays",그는 새 사전에 만족하지 않고 이제는 언어학소론문집을 원한다
live in peace and content,마음편히 아무런 부족도 모르고 살다
Soya milk has a low fat content,콩우유는 지방함유량이 낮다
a contented look,만족스러운 표정
give a contented little smile,만족한 미소를 살짝 짓다
She is contented with things as they are,그 녀자는 현상태에 만족해하고있다
a contentious case,소송사건
He found contentment in living a simple life in the country,그는 시골의 검소한 생활에서 만족을 찾았다
a tennis contest,정구시합
enter the contest,시합에 참가하다
a leadership contest,령도권쟁탈전
contest a suit,소송에 관해 론쟁하다
in contestation,론쟁중에 있는
out of context,전후관계가 없이
in contiguity with,과 린접해서
in the supposed contingency,만일 그런 일이 일어나는 경우에
be not by any possible contingency,설마 않을것이다
prepare for future contingencies,앞으로의 사변에 대처하여 준비하다
a fee contingent on success,성공사례금
Has the Scottish contingent arrived yet,스코틀랜드대표단이 벌써 도착했습니까
A large contingent of troops was dispatched,큰 분견대가 파견되였다
He was a continual trouble to his father,그는 언제나 아버지의 근심거리였다
Continuation follows,다음호에 계속
"Once a separate village, it is now a continuation of the suburbs",한때 동떨어진 마을이던것이 지금은 교외의 한 부분으로 되였다
He was unable to continue with his job,그는 자기일을 계속 할수 없었다
He continues obdurate,그는 여전히 고집불통이다
The trial continues tomorrow,재판은 래일 계속된다
To be continued,다음호에 계속
continue a boy at school,아이를 계속 학교에 다니게 하다
a consensus favouring continuity of policy,정책을 계속 밀고나갈데 대한 의견일치
a continuous flow of information,끊임없는 정보흐름
spacetime continuum,시간공간련속체
A spasm of pain contorted his face,발작적인 아픔으로 그의 얼굴이 이그러졌다
a contorted version of truth,외곡된 사실
She traced the contours of his sons face with her hand,그 녀자는 손으로 아들애의 얼굴을 쓰다듬었다
conditional contraband,조건부금제품
a contraband trader,밀수상인
a contraceptive pill,피임약
a written contract,서면계약
be under contract with,와 계약을 맺고있다
void contract,무효계약
as contracted,계약한대로
bridge,두패로 갈라서 하는 의 한가지
a contractile muscle,수축근
contracting parties,계약당사자
contracting parties,동맹국
He did not contradict her but just said nothing,그는 그 녀자의 말을 반박하지는 않았지만 아무 말도 하지 않았다
contradict each other,서로 모순되다
in contradiction to,와는 정반대로
internal contradiction,내부모순
What a contraption of a watch,참 묘한 시계이구만
be contrary to fact,사실에 어긋나다
Two contrary views emerged,서로 상반되는 두 견해가 대두하였다
He is neither tall nor the contrary,키가 크지는 않으나 그 반대도 아니다
on the contrary,이와 반대로
quite the contrary,그렇기는커녕
He continued to drink despite medical advice to the contrary,그는 마시지 말라는 의사의 충고에도 불구하고 계속 술을 마셨다
by contrast,대조해보면
in contrast to,과 대조적으로
What a contrast to the old days,옛날과는 얼마나 다른가
be a contrast to,을 대조적으로 뚜렷이 하다
as contrasted with,대비하여 보면
contrastive linguistics,대조언어학
a contrate wheel,횡치차
contravene state law,국가의 법을 어기다
contribute money towards the cost of services,봉사비용에 돈을 기부하다
contribute articles to the magazine,잡지에 기사들을 투고하다
contribute to the community chest,공동모연금에 기부하다
contrive a crisis,위기를 조성하다
He contrived to arrive in time after all,결국 가까스로 제시간에 도착하였다
He contrived to make the matter worse,일부러 손을 대여 일을 악화시키고말았다
The ending of the novel is too pat and contrived,소설의 마감이 지내 꼭 들어맞고 인위적인 감이 난다
light control,등화관제
traffic control,교통단속
be under the direct control of,의 직접적인 감독밑에 있다
be in control of,을 관리하고있다
The situation was slipping out of her control,정세는 그가 걷잡을수 없게 되여가고있었다
be beyond control,억제하지 못하다
be beyond control,힘에 겹다
get out of control,조종할수 없게 되다
the TV remote control TV,원격조종기
passport control,통검
bring the blaze under control,불길이 더 퍼지지 못하게 하다
enter into controversy with,와 론쟁을 시작하다
Continental United States,군사 미국본토
convectional,대류의
convene a secret meeting,비밀회합을 가지다
The committee had convened for its final plenary session,위원회는 마지막 전원총회를 위해 모였었다
as a matter of convenience,편의상
a public convenience,공동변소
a marriage of convenience,리기적결혼
if it is convenient to for you,지장이 없으시다면
make it convenient to do,형편을 보아서 하다
upholder of convention,관례옹호자
conventional morality,인습도덕
a conventional phraseology,상투적인 문구
a conventional war,재래식전쟁
converge on upon the capital,수도에 모이다
Several different streets converge at the square,몇개 거리가 광장으로 집중된다
be deep in conversation,담화에 열중하다
The conversation turned to a friends coming wedding,화제는 한 친구의 앞으로의 결혼에로 옮겨졌다
conversion of goods into money,상품의 현금화
conversion to metric system,메터법으로의 전환
The warehouse was undergoing conversion into apartments,창고를 아빠트로 개조하고있었다
the conversion of a nationalist to socialism,민족주의자의 사회주의에로의 전환
convert water into ice,물을 얼음으로 변화시키다
convert a barn into a garage,헛간을 개조하여 차고로 만들다
convert the country from a primitive society to a industrial one,나라를 원시사회로부터 공업국으로 개변시키다
He was converted in his later years to the socialist cause,그는 말년에 사회주의위업에로 방향전환을 하였다
convert a disused cinema to house,쓰지 않는 영화관을 살림집으로 개조하다
He converted to Catholicism,그는 카톨릭교로 전향하였다
a converted cruiser,장비를 개조한 순양함
Heat is convertible into electricity,열은 전기로 변환될수 있다
a convex lens,볼록렌즈
a convex mirror,볼록거울
Words fail to convey my feelings,말로는 나의 감정을 표현할수 없다
wheeled conveyances of any kind,각종 륜전기재들
the conveyer system,콘베아장치
the conveyer system,흐름작업
a convicted prisoner,기결수
knvkt kn,유죄선고를 받은 자
speak in the full conviction that,라고 충분히 확신하여 말하다
political convictions,정치적신념
be open to conviction,리치에 따르다
She convulsed collapsing to the floor with the pain,그는 경련을 일으키더니 아픔으로 바닥에 주저앉았다
be convulsed with laughter,우스워 배를 그러쥐다
That country was convulsed with civil strife,그 나라는 내란으로 소란해졌다
The audience collapsed in convulsions,청중은 폭소를 터뜨렸다
with a convulsive effort,필사적인 노력으로
cook an evening meal,저녁식사를 준비하다
cook rice for supper,저녁식사로 밥을 짓다
cook the evidence,증거를 날조하다
It looks as though accounts were cooked,장부를 속인것 같다
be cooking,획책하고있다
they've got something cooking,그들은 무엇인가 획책하고있다
The bands really cooking tonight,그 악단은 오늘밤 공연을 아주 잘하고있다
the head cook,책임료리사
that's the way the cookie crumbles,세상일은 마음대로 안되는 경우가 많다
a novel filled with cookie cutter characters,진부한 등장인물로 가득 찬 소설
He got caught with his hand in the cookie jar,그는 몰래 주인의것을 훔치다가 붙잡혔다
cooking oil,먹는 기름
a cooking school,료리학교
get cool,서늘해지다
a cool cotton dress,시원한 면옷
in cool blood,랭정하게
in cool blood,태연하게
remain cool,침착하다
remain cool,당황해하지 않다
keep a cool head,침착성을 유지하다
give a cool look,쌀쌀하게 바라보다
My proposal met with a cool response,나의 제의는 랭담한 반응을 받았다
a cool customer,뻔뻔스러운 사나이
have cool cheek,아주 뻔뻔스럽다
You look cool in that shirt,당신은 그 샤쯔를 입으니 정말 멋있다
My mum was cool about whatever I wore,우리 엄마는 내가 무슨 옷을 입든 다 리해하였다
Would Friday be cool with you guys,너희들 금요일이 괜찮니
"cool, calm and collected",랭정하여
"cool, calm and collected",매우 침착하게
go for a stroll in the cool of the evening,서늘한 저녁에 산보하다
cool the pastry,과자를 식히다
"Come on now calm down, cool it","자, 그만 진정해라"
after i'd cooled off i realized i was being irrational,마음을 가라앉힌 후에야 나는 내가 분별없이 굴었다는것을 깨달았다
The air has cooled down a little now,이제는 공기가 조금 차졌다
Cool off with an iced drink,랭동음료로 식혀라
keep a cool head,태연자약하다
a cooling room,랭각실
hunt the same old coon skin the same old coon,늘 같은짓만 하고있다
fly the coop,탈옥하다
a white cooper,함지통 만드는 사람
cooperate in ending the civil war,내란을 끝장내는데서 협력하다
All these things cooperated to make this work a success,이 모든것이 서로 도움이 되여 이 사업이 성공하였다
in cooperation with,와 협동하여
cooperative savings,공동저금
They are working together to coordinate policy on food safety,그들은 음식의 안전성에 대한 정책의 균형을 맞추기 위해 함께 일하고있다
Her movements were beautifully coordinated,그는 황홀하게 자유자재로 움직이였다
coordinate with consultants on a variety of projects,여러가지 계획들을 고문들과 교섭하다
coordinate with the shirt,샤쯔와 어울리다
a man coordinate with him in rank,그와 같은 직급의 사람
Both countries agreed to intensify efforts at economic policy coordination,두나라는 경제정책을 조정하기 위하여 더욱 노력할것을 합의하였다
cop and heel,탈주
cop and heel,도망
they say he's not much cop as a coach,그가 감독으로서는 별로 쓸모가 없다고들 한다
He was copped for speeding,그는 속도위반으로 붙잡혔다
Will you cop it from your dad if you get back late,늦게 돌아가면 아버지에게 꾸지람을 듣니
He almost copped it in a horrific accident,그는 끔찍한 사고에서 거의 죽을번하였다
cop the blame,비난을 받다
cop an award,상을 타다
cop a feel,살그머니 애무하다
cop hold of,쥐다
cop hold of the suitcase,트렁크를 쥐다
chronic obstructive pulmonary disease,만성페색성페질환 페기종
cope with the problem,문제를 처리하다
My computer can cope with huge amounts of data,나의 콤퓨터는 방대한 량의 자료를 처리할수 있다
under the cope of night,밤의 어둠을 타서
the cope of heaven,창공
the cope of heaven,하늘
walls coped with broken bottles,꼭대기에 유리쪼각을 박은 담벽
red copper,적동광
a copperbottomed guarantee,믿을만한 담보
a clean copy,정서
a rough copy,초고
keep a copy of,의 사본을 만들어두다
make a copy,복사하다
take a copy of,을 복사하다
a copy of the newspaper,신문 한부
The event makes good copy,그 사건은 좋은 기사거리가 된다
good copy,흥미있는 소식
The interviews made good copy and helped with the films publicity,기자회견에서는 흥미있는 소식이 전해져 그 영화의 선전에 도움이 되였다
copy out the address,주소를 옮겨베끼다
copy into a notebook,학습장에 베끼다
copy after a good precedent,좋은 전례에 따르다
I think I must have copied your number down wrong,내 생각에는 분명 내가 당신의 전화번호를 잘못 받아쓴것 같다
can you copy me in on the memo you're sending to him,그에게 보내는 비망록을 나에게 한통 보내주겠습니까
in copyhold,등본보유권에 의하여
coquet with politics,정치에 잠간 관여하다
spinal cord,척수
a cordcordless shaver,충전전기면도기
I earned his cordial loathing,그의 미움을 강하게 샀다
Troops threw a cordon around the headquarters,부대들이 사령부주위로 보초선을 쳤다
a cordon of police,경찰저지선
The city centre was cordoned off,시내중심부가 차단되였다
Congress of Racial Equality,인종평등회의
Debt is at the core of the problem,채무가 그 문제에서 골자이다
to the core,속까지
to the core,속속들이
to the core,철저히
He was a bureaucrat to the core,그는 완전한 관료주의자였다
peel and core the pear,배의 껍질을 벗기고 속을 빼내다
a club embodying the Corinthian spirit,코린트기질을 체현한 구락부
the Corinthian order,코린트기둥식
"It was the seasons first goal, and a corker",이번 계절경기의 첫 꼴이였으며 그것도 멋진 꼴이였다
a corkscrew staircase,라선형계단
cork oak,황경피나무속
take the corner too quickly,길모퉁이를 지내 속도를 내여 돌다
around the corner,모퉁이를 돌아서
sit on the corner of the bed,침대모서리에 앉다
A tear appeared in the corner of his eye,눈물이 그의 눈가에 어렸다
an old piano in the corner of the living room,살림방구석에 있는 낡은 피아노
reserve a corner table,구석탁을 예약하다
from all corner s of the world,세계각지에서
a tight corner,아주 불리한 상태
a tight corner,막다른 골목
The writers have painted themselves into a corner by killing off all the most popular characters in the first series,작가들은 처음의 몇부들에서 가장 인기있는 배역들을 죽임으로써 궁지에 빠지게 되였다
have a corner on get a corner on,을 매점하다
on every corner,가는곳마다
at every corner,가는곳마다
in every corner,가는곳마다
"Later, he cornered her on the stairs and asked her what was wrong",후에 그는 계단에서 그 녀자를 붙잡고 잘못된것이 무엇인가고 물었다
Whether they will corner the market in graphics software remains to be seen,그들이 도형프로그람시장을 독점하겠는지는 두고 보아야 한다
Cornwall,영국의 지방의
Cornwall,조리한 고기와 남새를 넣은 지방의 파이료리 크고 볼품없는 남성형구두
pop corn,전문 련쇄점
coronary thrombosis,심장발작
corporal pleasure,육체적쾌락
a corporal possession,사유물
The company is moving its corporate headquarters,회사는 자기 본사를 옮기려고 한다
a body corporate a corporate body,법인단체
corporate responsibility,공동책임
corporately,법인으로서
corporately,법인자격으로
the Corporation of the City of London,런던시자치체
corporeal hereditament,유형상속 부동산
the Army Ordnance Corpse,륙군병기부
the Army Service Corps,륙군수송대
the Darwinian corpus,다윈설전집
corpuscular kpskjl krpskjlr,미립자의
the correct thing,마땅히 그래야 할 일
correct me if i'm wrong,내말이 옳은지는 모르겠는데
correct me if i'm wrong but didn't you say youd never met hi'm before,내말이 옳은지는 모르겠지만 이전에 당신은 그를 만난적이 없다고 말하지 않았소
a correction institution for juveniles,감화원
under correction,잘못된것이 있으면 시정받기로 하고
Success in the educational system correlates highly with class,그 교육체계에서의 성과는 수업과 많이 련관되여있다
His words and actions do not correspond,그의 말과 행동은 일치하지 않는다
The broad lines on the map correspond to roads,지도상의 굵은 선은 도로를 나타낸다
stop corresponding with,와의 서신거래를 끊다
We rarely meet though we correspond regularly,편지는 정상적으로 주고받지만 만나는 일은 드물다
There was no correspondence between the historical facts and his account of them,력사적사실과 그에 대한 그의 해석사이에는 아무런 일치도 없었다
be in correspondence with,와 편지거래가 있다
enter into correspondence with,와 편지거래를 시작하다
keep up correspondence with,와 편지거래를 계속하다
have a great deal of correspondence,편지거래가 빈번하다
a good correspondent,편지를 자주 쓰는 사람
our Moscow correspondent,우리 사의 모스크바주재 특파원
corridors of power,정계의 상층
in corroboration of,을 확증하기 위하여
Acid rain poisons fish and corrodes buildings,산성비는 물고기를 중독시키고 건물들을 부식시킨다
a corrupt manuscript,부당하게 가필된 원고
a corrupt and rotting corpse,부패된 시체
expose corruption in high places,높은 직위에서의 뢰물행위를 발가놓다
be corruptive of,을 타락시키다
remove the corset on banks,은행들에 대한 통제를 완화시키다
corticotrophin,생화학
Cybele,의 사제승
hyperbolic cosine,쌍곡코시누스
cosmic matter,우주물질
Committee on Space Research,우주공간연구련락위원회
all her life shed been cosseted by her family,집안사람들의 사랑을 받으며 보낸 그의 일생
The accident cost me a visit to the doctor,그 사고로 나는 의사에게 가보아야 하였다
Well get the plan costed before presenting it to the board,리사회에 제출하기전에 우리는 계획에 대한 예산을 세울것이다
"Tickets are available, but theyll cost you",표는 얻을수 있지만 값이 대단히 비싸다
cost a bomb,값이 엄청나게 비싸다
cost a packet,값이 엄청나게 비싸다
A couple of missed chances in the first half cost them dear,전반전에서 놓친 두번의 기회로 하여 그들은 비싼 대가를 치르었다
at a cost of,의 비용으로
at no extra cost,추가비용이 없이
free of cost,무상으로
free of cost,무료로
cover the cost of,의 비용을 충당하다
at the cost of,의 대가로
at great cost of life,많은 사람들을 희생시켜
at a heavy cost,막대한 손실을 보고
costs and benefits,우단점
running cost,운영비
whatever the cost,그 어떤 대가를 치르어서라도
at all costs at any cost,어떠한 희생을 치르고라도
at all costs at any cost,어떠한 일이 있어도
He costarred with John in the movie,그는 영화에서 죤과 함께 공동주역으로 출연하였다
costpush,경제
a nuns costume,수녀복
period costume,시대의상
a cosy chat,화기애애한 대화
up to,포근한 자리에 들다
He decided to resign rather than cosy up to hardliners in the party,그는 당안의 강경파들의 비위를 맞추기 보다는 사임하기로 결심하였다
hyperbolic cotangent,쌍곡코탕겐스
a cotidal line,동조시선
cotton in the seed,씨를 빼지 않은 목화
raw cotton,원면
a needle and cotton,실을 꿴 바늘
He cottoned on to what I was trying to say,그는 내말의 뜻을 리해하였다
i didn't cotton to him at first,나는 처음 그를 좋아하지 않았다
Just a cottonpicking minute,잠간만
Mind your own cottonpicking business,쓸데 없이 참견 말아
on the couch,정신분석을 받아
The offer was couched in legal jargon,그 제안은 법술어로 표현되였다
cough fast enough,인차 자백하다
cough up phlegm,기침을 하여 가래를 뱉아내다
A faulty connection could easily cause a fire,련결을 잘못하면 쉽게 화재를 일으킬수 있었다
"He could have escaped, but he chose to stand and fight",그는 도망칠수 있었지만 서서 싸우기로 작정하였다
you could at least say that you're sorry,미안하다는 말이야 왜 못하니
How could you be so stupid,너는 어쩌면 그리도 어리석냐
couldn't be better couldn't be more pleased,더 이상 좋을수 없다
how are things fine couldn't be better,"일이 잘 되오 그럼, 그저그만이야"
couldn't be worse,더 이상 나쁠수 없다
I could do with a hot drink,더운물을 마시고싶다
the UN Security Council,유엔안전보장리사회
local council election,지방의회선거
hold a family council,가족회의를 열다
town hall,지방의회가 경영하는 주택
town hall,회의장
town hall,의사당
a councilor of an embassy,대사관참사
a county councilor,주의회의원
the counsel for the Crown,검사
take the counsels opinion,변호사와 의논하다
a counsel of despair,궁여지책
take counsel,의논하다
be counselled for depression,우울증으로 인한 상담을 받다
I no longer count him among my friends,나는 그를 더는 내 친구들축에 넣지 않는다
count him as a friend,그를 친구로 간주하다
This book counts much among his best works,이 책은 그의 걸작중의 하나이다
Such men dont count for anything,그런 사람들은 셈에 들지 않는다
His sporting attitude will count in his favour,체육인다운 태도로 하여 그는 유리하게 고려될것이다
Results from the two rounds count towards championship points,두개 회전에서 나온 결과가 선수권점수에 포함된다
count on them for economic assistance,그들에게 경제원조를 기대하다
May I count on your coming,오리라고 믿어도 되겠습니까
Were now counting the cost of not taking out insurance,지금 우리는 보험에 들지 않은 값을 치르고있다
count the days count the hours,손꼽아 날자가 지나기를 바라다
If this is a guessing game you can count me out,이것이 알아맞추기라면 나를 빼놔도 된다
keep a count of what he scores,그가 꼴을 넣은 수자를 세다
lose count,의 수를 잊다
lose count,을 중간에서 셀수 없게 되다
on all counts,모든점에서
the countdown to the World Cup,세계선수권대회전야
out of countenance,당황하여
out of countenance,무안하여
countenance the use of force,무력사용을 묵인하다
get alcohol under the counter,술을 비법적으로 구입하다
the counter direction,반대방향
a counterclaim for damages,손해배상의 맞소송
Belgian officials are discussing this with their French counterparts,벨지끄관리들은 이 문제를 프랑스관리들과 토의중이다
"There were three of us in the family, or four counting my pet dog","우리 집식구는 셋, 나의 애완용개까지 포함하면 넷이 있었다"
Her tweeds were far too countrified,그 녀자가 입은 트위드양복은 지내 촌스러웠다
have the support of the country,국민의 지지를 받다
live in the country,시골에서 살다
a mountainous country,산악지방
He hit the ball a country mile,그는 뽈을 아주 멀리로 쳤다
country music,가수
coup attempt,정변시도
make a couple more calls,전화를 몇번 더 걸다
Each element is mathematically coupled to its neighbours,매 요소들은 자기 주변의것들과 수학적으로 결합된다
beaming smile on his coupon,그의 얼굴에 어린 기쁨넘친 미소
coupon,떼여쓰는 표
coupon,식유람권
the course of history,력사적행정
the course of history,력사의 흐름
the whole course of his life,그의 인생행로
the wisest course of action,가장 현명한 행동방향
a course on architecture,건축학과
postgraduate course,박사원과정
taught course,정규교육과정
a course of treatments,한주기의 치료법
in the course of time,시간이 지나면
in the course of time,언젠가는
in the course of time,불원간에
of course,물론
of course,응당
on course,침로대로
off course,침로를 벗어나
the course of nature,자연스러운 과정
Tears were coursing down her cheeks,그 녀자의 볼로 눈물이 하염없이 흘러내리고있었다
course for hares with greyhounds,사냥개로 산토끼를 사냥하다
appear in court,재판정에 출두하다
The court upheld the earlier decision,재판소는 이전의 결정이 옳았음을 판결하였다
a tennis court,정구장
go to court,재판에 회부하다
in court,법정에서
out of court,법정밖에서
court the media,보도매체의 환심을 사다
court the approval,동의를 구하다
appear before a court martial,군법회의에 출두하다
the companys courtship of foreign investors,외국투자가들을 끌기 위한 회사의 노력
first cousin once removed,사촌의 자녀
first cousin once removed,종질 부모의 사촌
first cousin twice removed,사촌의 손자 조부모의 사촌
second cousin,륙촌
second cousin once removed,칠촌 부모의 륙촌
third cousin,팔촌
Covenant of the League of Nations,국제련맹규약
Old Covenant,신학 구약
New Covenant,신학 신약
He was covered in mud,그는 진흙투성이였다
The barn floor was covered in straw,헛간바닥에는 사방 짚이 덮혀있었다
Paint will cover hairline cracks,뼁끼칠을 하면 실금을 가리게 될것이다
keep children covered with Tshirts T,아이들이 샤쯔를 입고있게 하다
i'd just returned from covering the cambodian war,나는 방금 캄보쟈전쟁을 취재하고 돌아왔다
We need more time to cover so much ground,그렇게 많은 문제를 포괄하자면 우리에게 더 많은 시간이 필요하다
pollutants that are not covered by the Kyoto agreement,교또의정서에 해당되지 않는 오염물질
Airlines are raising fares to cover the rising costs of fuel,항공회사들은 높아지는 연유가격을 보상하기 위해 료금을 올리고있다
Your contents are now covered against accidental loss or damage in transit,현재 당신의 화물은 수송중에 있을 우발적인 손실이나 손해에 대한 보험담보가 되여있습니다
Louise laughed to cover her embarrassment,루이스는 당황함을 가리우기 위해 웃었다
The fortress covers the territory,그 지대는 요새의 유효사거리안에 있다
a seat cover,좌석씌우개
hard cover,두터운 표지
She burrowed down beneath the covers,그 녀자는 이부자리로 기여들어갔다
The covers had slipped off in the night,밤에 이부자리가 미끄러져 내렸다
He was shot in the head as he ran for cover,그는 대피소로 달리다가 머리에 총을 맞았다
They used the shop as a cover for drug deals,그들은 그 상점을 마약거래를 위한 위장물로 리용하였다
He was worried that their cover was blown,그는 그들의 위장신분이 드러나는것을 걱정하였다
from cover to cover,책의 처음부터 마지막까지
under cover,위장하고
under cover,은밀하게
work under cover to get information,자료를 쥐기 위해 위장하고 일하다
under separate cover,다른 봉투에 넣어
under separate cover,다른 편으로
under the same cover,같은 봉투에 넣어
under the same cover,같은 편으로
slide,현미경의 우에 놓인 표본을 가리우는 엷은 유리
covertly,은밀히
covertly,살며시
under coverture,유부녀로서
A covey of actors rushed through the room,한무리의 배우들이 방으로 뚜여들었다
a herd of cow s,소떼
have a cow,성나다
have a cow,흥분하다
till the cows come home,오래동안
till the cows come home,언제까지나
The protesters had been cowed into submission by the police,항의자들은 경찰의 위협에 굴복하였다
South Dakota,미국 주의 속칭
central processing unit,중앙연산처리장치
dressed crab,조리된 게살
you're trying to crab my act,네가 내일을 망치려고 하누나
climb into a crack between two rocks,두 바위사이에 난 틈안으로 기여들어가다
open the door a crack,문을 빠금히 열다
see through a crack in the door,문틈으로 보다
The company spotted a crack in their rivals defences,그 회사는 적수회사의 변호에서 약점을 발견해냈다
a loud crack of thunder,요란한 천둥소리
There was a sharp crack as the branch broke off,나무가지가 부러지면서 딱하는 소리가 났다
i'd like a crack at climbing that mountain,나는 저 산에 한번 올라가보고싶다
have a crack,시도해보다
a crack on the head,머리에 받은 강한 타격
at the crack of dawn,새벽에
the crack of doom,세상의 종말
the crack of doom,최후의 심판날의 우뢰소리
the crack of doom,세상의 끝
Concrete is liable to crack in very cold weather,콩크리트는 매운 추운 겨울에 금이 가기 쉽다
A chunk of the cliff had cracked off in a storm,벼랑의 많은 부분이 폭풍에 부서져나갔다
She winced as her knees cracked against metal,그는 무릎이 금속에 툭 부딪치자 움츠리였다
take care not to crack the glass,유리에 금이 가지 않게 조심하다
crack an egg into the frying pan,튀김판에 닭알을 깨여넣다
take care not to crack the glass,유리에 금이 가지 않게 조심하다
crack a brilliant goal,멋진 꼴을 넣다
crack a book,책을 펴고보다 공부하다
The tour was not as glamorous as it was cracked up to be,이번 관광려행은 소문보다는 그리 희한하지 못하였다
"Most tickets have been snapped up, so get cracking if you want one",표가 대부분 다 팔렸기때문에 하나 사려면 빨리 해
Well crack on with the second half of the job this month,이달에 후반부분을 제꺽 해치우겠다
a crack hand,명수
a crack shot,명사수
Georgia,주의 사람
get the crackers,미치다
get the crackers,머리가 돌다
go a cracker,전속을 내다 납작해지다
go crackers,몹시 성나다
Georgia,미국 주의 속칭
a bit of crackling,매력있는 녀자
a windowcleaners cradle,창문청소공의 비계
What is learned in the cradle is carried to the tomb,세살적버릇이 여든까지 간다
cradle an industrial revolution,산업혁명의 요람으로 되다
hand crafted silver cigar case,은세공담배갑
cram a trunk with clothes,트렁크에 옷을 가득 채워넣다
cramp economic growth,경제장성을 억제하다
crank out wordy studies,쓸모없는 연구자료만 계속 내놓다
he's full of crap,그는 내내 허튼소리만 해
Cut the crap,허튼소리 그만해
a crap film,한심하기 짝이 없는 영화
be crap at tennis,정구수준이 한심하다
craps,놀이
shoot craps,크랩스놀음을 하다
The dishes crashed to the floor,접시가 쟁가당하고 마루에 떨어졌다
crash and burn,슬퍼하다
crash and burn,보기좋게 실패하다
a sweeping crash,시세의 대폭락
wear a hempen cravat,교수형을 당하다
crave for pardon,용서를 간절히 빌다
have a craving for,을 열망하다
crawl on hands and knees,네발걸음하다
The tiny spider was crawling up his arm,작은 거미가 그의 팔로 기여올라가고있었다
The traffic was crawling along,차들이 느릿느릿 움직이고있었다
crawl the Net crawl the web,인터네트를 재빨리 탐색하다
He was half crazed with grief,그는 슬퍼서 미칠지경이였다
be the craze,인기가 대단하다
be the craze,대류행이다
go crazy,미치다
an absolutely crazy idea,완전히 어리석은 생각
like crazy,"맹렬히, 세차게, 미친듯이 열을 올리고"
a custard cream,카스타드크림
shaving cream,면도크림
cream the face,얼굴에 크림을 바르다
trousers with knifeedge creases,칼날같은 주름이 선 바지
A worried frown creased her forehead,그는 걱정스러워 이마살을 찌프리였다
creator,녀성
living creature,생명체
creatures of the deep,바다동물들
an artless creature,천진란만한 아이
heartless creature,무정한 놈
a creature of the military government,군사정권의 시녀
creature of habit,고정격식적인 사람
find credence with,에게서 신임을 받다
give credence to,을 믿다
refuse credence to,을 믿지 않다
singular credendum krdendm,신학 신앙조항
present credentials,신임장을 봉정하다
He has been credentialed to teach English,그는 영어교원자격을 가지고있다
credential letters,신임장
The scandal has damaged his credibility as a director,그 추문사건으로 하여 그는 리사로서의 신뢰를 손상당했다
credibleness credibly,확실히 믿을만한 소식통에서
offer interestfree credit,무리자외상을 제공하다
credit limit,신용대부한도
Credit for this win goes to everybody in the team,이번 승리가 안아온 호평은 팀의 누구에게나 다 차례진다
Your son is a great credit to your training,아들을 보니 교양을 참 잘 하였습니다
have enough credits to graduate,졸업할수 있는 충분한 수의 과정안을 마치다
receive credit for accuracy,정확성보장으로 하여 가산받다
The witnesss story gained credit with the jury,배심원들은 증인의 이야기를 믿었다
on credit,외상으로
on credit,신용대부로
on credit side,좋은 면에서는
on credit side,좋게 보면
Success can be credited to him,성공은 그의 덕이라고 할수 있다
He is credited with inventing it,그가 그것을 발명했다고 여긴다
You would hardly credit it but it was true,믿기 어려울테지만 그것은 사실이였다
creep downstairs,아래층으로 살며시 내려가다
